ANO_ELEICAO,SIGLA_UF,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_CAND,TOTAL_VOTOS
2014,MG,BELO HORIZONTE,ABDIAS BRAZ FERNANDES,PPS,2340,606
2014,MG,BELO HORIZONTE,ABNER DE NER DINO PEDRA,PSDB,4501,0
2014,MG,BELO HORIZONTE,ADAO GOMES FILHO,PTB,1405,0
2014,MG,BELO HORIZONTE,ADEILSON QUINTINO DE SOUSA,PSL,1750,371
2014,MG,BELO HORIZONTE,ADEIR BATISTA PEREIRA,PROS,9020,45
2014,MG,BELO HORIZONTE,ADELMO CARNEIRO LEAO,PT,1350,3516
2014,MG,BELO HORIZONTE,ADELMO PADILHA DE MIRANDA,PRP,4488,102
2014,MG,BELO HORIZONTE,ADEMIR CAMILO PRATES RODRIGUES,PROS,9010,1508
2014,MG,BELO HORIZONTE,ADICIO DIAS SOARES,PTN,1945,1088
2014,MG,BELO HORIZONTE,ADILA VALDEMIRA SEVERINO DAS NEVES,PTC,3680,261
2014,MG,BELO HORIZONTE,ADILSON DE OLIVEIRA,PR,2255,474
2014,MG,BELO HORIZONTE,ADILSON JORGE ROSSY DOS SANTOS,PTB,1478,460
2014,MG,BELO HORIZONTE,ADMAR RODRIGUES SOARES,PT do B,7081,43
2014,MG,BELO HORIZONTE,ADRIANA ASSIS MARQUES,PV,4326,184
2014,MG,BELO HORIZONTE,ADRIANA PINHEIRO GODINHO,PSC,2015,2397
2014,MG,BELO HORIZONTE,ADRIANE SOARES DE MIRANDA MEDEIROS,PT,1381,315
2014,MG,BELO HORIZONTE,ADRIANO MATEUS FERREIRA,PSB,4067,146
2014,MG,BELO HORIZONTE,AECIO TADEU FERREIRA SANTOS,PPS,2330,172
2014,MG,BELO HORIZONTE,AELTON JOSE DE FREITAS,PR,2222,1466
2014,MG,BELO HORIZONTE,AGUINALDO BRAGA DA SILVA,PSB,4001,0
2014,MG,BELO HORIZONTE,ALAERSON CHAVES DA SILVA,PSB,4030,128
2014,MG,BELO HORIZONTE,ALAIDE PIMENTA GOMES,PTN,1993,171
2014,MG,BELO HORIZONTE,ALBERTO CARLOS GOMES TAMEIRAO,PSB,4025,0
2014,MG,BELO HORIZONTE,ALCINDOR RIBEIRO DAMASCENO,PHS,3103,159
2014,MG,BELO HORIZONTE,ALDENI DE SOUZA GUERRA RAMOS,PDT,1267,24
2014,MG,BELO HORIZONTE,ALESSANDRA ELIAS MACHADO,PSL,1707,52
2014,MG,BELO HORIZONTE,ALEXANDRE DE AMORIM VELASCO DE SOUZA,PRB,1077,65
2014,MG,BELO HORIZONTE,ALEXANDRE DE MORAIS MARQUES,PMDB,1519,321
2014,MG,BELO HORIZONTE,ALEXANDRE GOMES FERREIRA,PTC,3670,478
2014,MG,BELO HORIZONTE,ALEXANDRE GONCALVES QUARESMA,PV,4355,278
2014,MG,BELO HORIZONTE,ALEXANDRE KALIL,PSB,4013,0
2014,MG,BELO HORIZONTE,ALEXANDRE MAGNO DE MOURA,PHS,3131,265
2014,MG,BELO HORIZONTE,ALEXANDRE RAIMUNDO BARROS LIMA,PSL,1744,1275
2014,MG,BELO HORIZONTE,ALFREDO DA SILVA RAMALHO,PRB,1020,740
2014,MG,BELO HORIZONTE,ALICIO RIBEIRO ROCHA,PTN,1999,46
2014,MG,BELO HORIZONTE,ALOISIO SANTOS NEIVA,PSB,4011,268
