"","ANO_ELEICAO","SIGLA_UF","NOME_MUNICIPIO","NOME_CANDIDATO","SIGLA_PARTIDO","NUMERO_CAND","TOTAL_VOTOS"
"1",2014,"MG","BELO HORIZONTE","ABDIAS BRAZ FERNANDES","PPS",2340,606
"2",2014,"MG","BELO HORIZONTE","ABNER DE NER DINO PEDRA","PSDB",4501,0
"3",2014,"MG","BELO HORIZONTE","ADAO GOMES FILHO","PTB",1405,0
"4",2014,"MG","BELO HORIZONTE","ADEILSON QUINTINO DE SOUSA","PSL",1750,371
"5",2014,"MG","BELO HORIZONTE","ADEIR BATISTA PEREIRA","PROS",9020,45
"6",2014,"MG","BELO HORIZONTE","ADELMO CARNEIRO LEAO","PT",1350,3516
"7",2014,"MG","BELO HORIZONTE","ADELMO PADILHA DE MIRANDA","PRP",4488,102
"8",2014,"MG","BELO HORIZONTE","ADEMIR CAMILO PRATES RODRIGUES","PROS",9010,1508
"9",2014,"MG","BELO HORIZONTE","ADICIO DIAS SOARES","PTN",1945,1088
"10",2014,"MG","BELO HORIZONTE","ADILA VALDEMIRA SEVERINO DAS NEVES","PTC",3680,261
"11",2014,"MG","BELO HORIZONTE","ADILSON DE OLIVEIRA","PR",2255,474
"12",2014,"MG","BELO HORIZONTE","ADILSON JORGE ROSSY DOS SANTOS","PTB",1478,460
"13",2014,"MG","BELO HORIZONTE","ADMAR RODRIGUES SOARES","PT do B",7081,43
"14",2014,"MG","BELO HORIZONTE","ADRIANA ASSIS MARQUES","PV",4326,184
"15",2014,"MG","BELO HORIZONTE","ADRIANA PINHEIRO GODINHO","PSC",2015,2397
"16",2014,"MG","BELO HORIZONTE","ADRIANE SOARES DE MIRANDA MEDEIROS","PT",1381,315
"17",2014,"MG","BELO HORIZONTE","ADRIANO MATEUS FERREIRA","PSB",4067,146
"18",2014,"MG","BELO HORIZONTE","AECIO TADEU FERREIRA SANTOS","PPS",2330,172
"19",2014,"MG","BELO HORIZONTE","AELTON JOSE DE FREITAS","PR",2222,1466
"20",2014,"MG","BELO HORIZONTE","AGUINALDO BRAGA DA SILVA","PSB",4001,0
"21",2014,"MG","BELO HORIZONTE","ALAERSON CHAVES DA SILVA","PSB",4030,128
"22",2014,"MG","BELO HORIZONTE","ALAIDE PIMENTA GOMES","PTN",1993,171
"23",2014,"MG","BELO HORIZONTE","ALBERTO CARLOS GOMES TAMEIRAO","PSB",4025,0
"24",2014,"MG","BELO HORIZONTE","ALCINDOR RIBEIRO DAMASCENO","PHS",3103,159
"25",2014,"MG","BELO HORIZONTE","ALDENI DE SOUZA GUERRA RAMOS","PDT",1267,24
"26",2014,"MG","BELO HORIZONTE","ALESSANDRA ELIAS MACHADO","PSL",1707,52
"27",2014,"MG","BELO HORIZONTE","ALEXANDRE DE AMORIM VELASCO DE SOUZA","PRB",1077,65
"28",2014,"MG","BELO HORIZONTE","ALEXANDRE DE MORAIS MARQUES","PMDB",1519,321
"29",2014,"MG","BELO HORIZONTE","ALEXANDRE GOMES FERREIRA","PTC",3670,478
"30",2014,"MG","BELO HORIZONTE","ALEXANDRE GONCALVES QUARESMA","PV",4355,278
"31",2014,"MG","BELO HORIZONTE","ALEXANDRE KALIL","PSB",4013,0
"32",2014,"MG","BELO HORIZONTE","ALEXANDRE MAGNO DE MOURA","PHS",3131,265
"33",2014,"MG","BELO HORIZONTE","ALEXANDRE RAIMUNDO BARROS LIMA","PSL",1744,1275
"34",2014,"MG","BELO HORIZONTE","ALFREDO DA SILVA RAMALHO","PRB",1020,740
"35",2014,"MG","BELO HORIZONTE","ALICIO RIBEIRO ROCHA","PTN",1999,46
"36",2014,"MG","BELO HORIZONTE","ALOISIO SANTOS NEIVA","PSB",4011,268
"37",2014,"MG","BELO HORIZONTE","ALOYSIO RODRIGUES DA CUNHA","PRP",4437,54
"38",2014,"MG","BELO HORIZONTE","ALVARO CESAR CAROLINO","PT",1301,648
"39",2014,"MG","BELO HORIZONTE","ALVARO DE ARAUJO LOBO","PSOL",5020,960
"40",2014,"MG","BELO HORIZONTE","ALVARO RODRIGUES COELHO","PT do B",7010,3212
"41",2014,"MG","BELO HORIZONTE","ALVIMAR ROGERIO DE SOUZA","PSB",4090,197
"42",2014,"MG","BELO HORIZONTE","ANA LETICIA MEDEIROS GODOI SILVA","PSTU",1680,114
"43",2014,"MG","BELO HORIZONTE","ANA LUCIA BARROSO DA SILVA","PSL",1721,17
"44",2014,"MG","BELO HORIZONTE","ANDERSON ADAUTO PEREIRA","PRB",1015,0
"45",2014,"MG","BELO HORIZONTE","ANDRE LUIZ ALMEIDA TURCI","PSC",2017,211
"46",2014,"MG","BELO HORIZONTE","ANDRE NOGUEIRA DE AVILA","PSTU",1623,137
"47",2014,"MG","BELO HORIZONTE","ANDREA NEVES BRANDAO","PPS",2307,39
"48",2014,"MG","BELO HORIZONTE","ANDREIA JACQUELINE PACHECO","PTC",3612,407
"49",2014,"MG","BELO HORIZONTE","ANDREIA MARTINS DE SOUZA BOTELHO","PSL",1723,52
"50",2014,"MG","BELO HORIZONTE","ANDRESA SA DE OLIVEIRA","PDT",1292,40
"51",2014,"MG","BELO HORIZONTE","ANDRESSA AGUILAR FREIRE","PHS",3111,0
