"ï..date","class","focuses","uf"
"2020/08","Desmatamento Consolidado","54","tocantins"
"2020/06","Desmatamento Recente","1","tocantins"
"2020/07","Outros","5","tocantins"
"2020/06","Outros","3","tocantins"
"2020/05","Desmatamento Consolidado","7","tocantins"
"2020/05","Outros","1","tocantins"
"2020/07","Desmatamento Consolidado","26","tocantins"
"2020/04","Desmatamento Consolidado","1","tocantins"
"2020/08","Outros","12","tocantins"
"2020/03","Desmatamento Consolidado","3","tocantins"
"2020/02","Desmatamento Consolidado","1","tocantins"
"2020/08","Desmatamento Recente","1","tocantins"
"2020/12","Desmatamento Consolidado","19","tocantins"
"2019/09","Desmatamento Recente","1","tocantins"
"2020/01","Desmatamento Consolidado","1","tocantins"
"2019/08","Desmatamento Recente","1","tocantins"
"2019/08","Outros","4","tocantins"
"2020/09","Outros","14","tocantins"
"2019/12","Desmatamento Consolidado","31","tocantins"
"2020/09","Floresta","5","tocantins"
"2019/12","Desmatamento Recente","4","tocantins"
"2020/09","Desmatamento Recente","7","tocantins"
"2020/12","Desmatamento Recente","5","tocantins"
"2020/09","Desmatamento Consolidado","257","tocantins"
"2019/08","Desmatamento Consolidado","57","tocantins"
"2019/11","Outros","4","tocantins"
"2020/10","Outros","3","tocantins"
"2019/11","Desmatamento Recente","4","tocantins"
"2020/06","Desmatamento Consolidado","26","tocantins"
"2019/10","Desmatamento Consolidado","38","tocantins"
"2020/10","Desmatamento Consolidado","75","tocantins"
"2019/10","Desmatamento Recente","1","tocantins"
"2019/09","Outros","13","tocantins"
"2020/11","Outros","4","tocantins"
"2020/11","Floresta","2","tocantins"
"2019/10","Outros","4","tocantins"
"2019/09","Desmatamento Consolidado","26","tocantins"
"2020/11","Desmatamento Consolidado","46","tocantins"
"2019/11","Desmatamento Consolidado","36","tocantins"
"2019/09","Desmatamento Recente","12","roraima"
"2020/07","Outros","6","roraima"
"2020/07","Floresta","1","roraima"
"2020/01","Outros","198","roraima"
"2019/12","Desmatamento Consolidado","6","roraima"
"2020/08","Outros","10","roraima"
"2020/03","Desmatamento Recente","254","roraima"
"2020/09","Floresta","3","roraima"
"2020/11","Desmatamento Consolidado","3","roraima"
"2020/12","Outros","23","roraima"
"2020/05","Outros","10","roraima"
"2020/04","Desmatamento Consolidado","63","roraima"
"2019/12","Desmatamento Recente","2","roraima"
"2019/08","Desmatamento Recente","4","roraima"
"2020/03","Desmatamento Consolidado","185","roraima"
"2020/01","Floresta","11","roraima"
"2020/03","Floresta","70","roraima"
"2020/12","Desmatamento Recente","15","roraima"
"2020/09","Desmatamento Recente","10","roraima"
"2019/09","Desmatamento Consolidado","2","roraima"
"2020/03","Outros","186","roraima"
"2020/05","Desmatamento Recente","1","roraima"
"2020/01","Desmatamento Recente","47","roraima"
"2020/11","Desmatamento Recente","2","roraima"
"2019/12","Outros","28","roraima"
"2020/12","Desmatamento Consolidado","17","roraima"
"2020/08","Floresta","1","roraima"
"2019/08","Outros","1","roraima"
"2019/10","Outros","26","roraima"
"2020/09","Desmatamento Consolidado","13","roraima"
"2019/11","Desmatamento Consolidado","8","roraima"
"2020/08","Desmatamento Consolidado","1","roraima"
"2020/02","Desmatamento Consolidado","33","roraima"
"2020/06","Desmatamento Recente","1","roraima"
"2020/01","Desmatamento Consolidado","41","roraima"
"2019/10","Floresta","10","roraima"
"2020/09","Outros","36","roraima"
"2020/10","Outros","55","roraima"
"2020/04","Outros","59","roraima"
"2019/11","Desmatamento Recente","8","roraima"
"2020/11","Outros","14","roraima"
"2019/09","Outros","8","roraima"
"2020/07","Desmatamento Consolidado","2","roraima"
"2019/09","Floresta","4","roraima"
"2019/10","Desmatamento Recente","4","roraima"
"2020/02","Desmatamento Recente","65","roraima"
"2020/10","Floresta","10","roraima"
"2020/04","Floresta","5","roraima"
"2019/11","Floresta","1","roraima"
"2020/06","Desmatamento Consolidado","2","roraima"
"2020/10","Desmatamento Consolidado","20","roraima"
"2020/12","Floresta","3","roraima"
"2020/02","Floresta","16","roraima"
"2019/10","Desmatamento Consolidado","13","roraima"
"2020/04","Desmatamento Recente","38","roraima"
"2020/02","Outros","369","roraima"
"2019/11","Outros","41","roraima"
"2020/06","Outros","1","roraima"
"2020/08","Desmatamento Recente","2","roraima"
"2020/10","Desmatamento Recente","28","roraima"
"2020/10","Desmatamento Recente","1258","rondonia"
"2020/07","Desmatamento Consolidado","204","rondonia"
"2020/02","Outros","6","rondonia"
"2020/12","Outros","9","rondonia"
"2019/10","Desmatamento Consolidado","244","rondonia"
"2020/12","Floresta","3","rondonia"
"2019/09","Floresta","153","rondonia"
"2020/10","Desmatamento Consolidado","811","rondonia"
"2020/11","Desmatamento Recente","212","rondonia"
"2020/08","Desmatamento Recente","1930","rondonia"
"2019/10","Outros","24","rondonia"
"2020/03","Desmatamento Consolidado","30","rondonia"
"2020/11","Floresta","19","rondonia"
"2020/05","Desmatamento Recente","19","rondonia"
"2019/10","Desmatamento Recente","276","rondonia"
"2020/01","Desmatamento Recente","17","rondonia"
"2020/11","Desmatamento Consolidado","224","rondonia"
"2020/04","Outros","5","rondonia"
"2020/11","Outros","54","rondonia"
"2019/09","Desmatamento Consolidado","1226","rondonia"
"2020/01","Outros","4","rondonia"
"2019/08","Desmatamento Recente","3374","rondonia"
"2020/01","Desmatamento Consolidado","35","rondonia"
"2019/10","Floresta","12","rondonia"
"2019/09","Outros","98","rondonia"
"2019/09","Desmatamento Recente","2167","rondonia"
"2020/07","Desmatamento Recente","151","rondonia"
"2020/08","Desmatamento Consolidado","737","rondonia"
"2019/08","Floresta","309","rondonia"
"2020/05","Floresta","1","rondonia"
"2020/02","Floresta","1","rondonia"
"2020/10","Floresta","104","rondonia"
"2019/11","Floresta","5","rondonia"
"2020/04","Desmatamento Recente","14","rondonia"
"2020/06","Outros","2","rondonia"
"2020/02","Desmatamento Recente","10","rondonia"
"2020/10","Outros","240","rondonia"
"2019/11","Desmatamento Recente","126","rondonia"
"2020/12","Desmatamento Consolidado","82","rondonia"
"2020/06","Desmatamento Recente","46","rondonia"
"2020/02","Desmatamento Consolidado","22","rondonia"
"2019/08","Desmatamento Consolidado","1698","rondonia"
"2019/11","Desmatamento Consolidado","121","rondonia"
"2020/06","Desmatamento Consolidado","88","rondonia"
"2020/07","Floresta","35","rondonia"
"2020/09","Desmatamento Consolidado","1281","rondonia"
"2020/08","Floresta","249","rondonia"
"2019/12","Outros","6","rondonia"
"2020/03","Outros","2","rondonia"
"2020/07","Outros","38","rondonia"
