date;class;focuses;uf
2020/08;Desmatamento Consolidado;54;TOCANTINS
2020/06;Desmatamento Recente;1;TOCANTINS
2020/07;Outros;5;TOCANTINS
2020/06;Outros;3;TOCANTINS
2020/05;Desmatamento Consolidado;7;TOCANTINS
2020/05;Outros;1;TOCANTINS
2020/07;Desmatamento Consolidado;26;TOCANTINS
2020/04;Desmatamento Consolidado;1;TOCANTINS
2020/08;Outros;12;TOCANTINS
2020/03;Desmatamento Consolidado;3;TOCANTINS
2020/02;Desmatamento Consolidado;1;TOCANTINS
2020/08;Desmatamento Recente;1;TOCANTINS
2020/12;Desmatamento Consolidado;19;TOCANTINS
2019/09;Desmatamento Recente;1;TOCANTINS
2020/01;Desmatamento Consolidado;1;TOCANTINS
2019/08;Desmatamento Recente;1;TOCANTINS
2019/08;Outros;4;TOCANTINS
2020/09;Outros;14;TOCANTINS
2019/12;Desmatamento Consolidado;31;TOCANTINS
2020/09;Floresta;5;TOCANTINS
2019/12;Desmatamento Recente;4;TOCANTINS
2020/09;Desmatamento Recente;7;TOCANTINS
2020/12;Desmatamento Recente;5;TOCANTINS
2020/09;Desmatamento Consolidado;257;TOCANTINS
2019/08;Desmatamento Consolidado;57;TOCANTINS
2019/11;Outros;4;TOCANTINS
2020/10;Outros;3;TOCANTINS
2019/11;Desmatamento Recente;4;TOCANTINS
2020/06;Desmatamento Consolidado;26;TOCANTINS
2019/10;Desmatamento Consolidado;38;TOCANTINS
2020/10;Desmatamento Consolidado;75;TOCANTINS
2019/10;Desmatamento Recente;1;TOCANTINS
2019/09;Outros;13;TOCANTINS
2020/11;Outros;4;TOCANTINS
2020/11;Floresta;2;TOCANTINS
2019/10;Outros;4;TOCANTINS
2019/09;Desmatamento Consolidado;26;TOCANTINS
2020/11;Desmatamento Consolidado;46;TOCANTINS
2019/11;Desmatamento Consolidado;36;TOCANTINS
2019/09;Desmatamento Recente;12;RORAIMA
2020/07;Outros;6;RORAIMA
2020/07;Floresta;1;RORAIMA
2020/01;Outros;198;RORAIMA
2019/12;Desmatamento Consolidado;6;RORAIMA
2020/08;Outros;10;RORAIMA
2020/03;Desmatamento Recente;254;RORAIMA
2020/09;Floresta;3;RORAIMA
2020/11;Desmatamento Consolidado;3;RORAIMA
2020/12;Outros;23;RORAIMA
2020/05;Outros;10;RORAIMA
2020/04;Desmatamento Consolidado;63;RORAIMA
2019/12;Desmatamento Recente;2;RORAIMA
2019/08;Desmatamento Recente;4;RORAIMA
2020/03;Desmatamento Consolidado;185;RORAIMA
2020/01;Floresta;11;RORAIMA
2020/03;Floresta;70;RORAIMA
2020/12;Desmatamento Recente;15;RORAIMA
2020/09;Desmatamento Recente;10;RORAIMA
2019/09;Desmatamento Consolidado;2;RORAIMA
2020/03;Outros;186;RORAIMA
2020/05;Desmatamento Recente;1;RORAIMA
2020/01;Desmatamento Recente;47;RORAIMA
2020/11;Desmatamento Recente;2;RORAIMA
2019/12;Outros;28;RORAIMA
2020/12;Desmatamento Consolidado;17;RORAIMA
2020/08;Floresta;1;RORAIMA
2019/08;Outros;1;RORAIMA
2019/10;Outros;26;RORAIMA
2020/09;Desmatamento Consolidado;13;RORAIMA
2019/11;Desmatamento Consolidado;8;RORAIMA
2020/08;Desmatamento Consolidado;1;RORAIMA
2020/02;Desmatamento Consolidado;33;RORAIMA
2020/06;Desmatamento Recente;1;RORAIMA
2020/01;Desmatamento Consolidado;41;RORAIMA
2019/10;Floresta;10;RORAIMA
2020/09;Outros;36;RORAIMA
2020/10;Outros;55;RORAIMA
2020/04;Outros;59;RORAIMA
2019/11;Desmatamento Recente;8;RORAIMA
2020/11;Outros;14;RORAIMA
2019/09;Outros;8;RORAIMA
2020/07;Desmatamento Consolidado;2;RORAIMA
2019/09;Floresta;4;RORAIMA
2019/10;Desmatamento Recente;4;RORAIMA
2020/02;Desmatamento Recente;65;RORAIMA
2020/10;Floresta;10;RORAIMA
2020/04;Floresta;5;RORAIMA
2019/11;Floresta;1;RORAIMA
2020/06;Desmatamento Consolidado;2;RORAIMA
2020/10;Desmatamento Consolidado;20;RORAIMA
2020/12;Floresta;3;RORAIMA
2020/02;Floresta;16;RORAIMA
2019/10;Desmatamento Consolidado;13;RORAIMA
2020/04;Desmatamento Recente;38;RORAIMA
2020/02;Outros;369;RORAIMA
2019/11;Outros;41;RORAIMA
2020/06;Outros;1;RORAIMA
2020/08;Desmatamento Recente;2;RORAIMA
2020/10;Desmatamento Recente;28;RORAIMA
2020/10;Desmatamento Recente;1258;RONDONIA
2020/07;Desmatamento Consolidado;204;RONDONIA
2020/02;Outros;6;RONDONIA
2020/12;Outros;9;RONDONIA
2019/10;Desmatamento Consolidado;244;RONDONIA
2020/12;Floresta;3;RONDONIA
2019/09;Floresta;153;RONDONIA
2020/10;Desmatamento Consolidado;811;RONDONIA
2020/11;Desmatamento Recente;212;RONDONIA
2020/08;Desmatamento Recente;1930;RONDONIA
2019/10;Outros;24;RONDONIA
2020/03;Desmatamento Consolidado;30;RONDONIA
2020/11;Floresta;19;RONDONIA
2020/05;Desmatamento Recente;19;RONDONIA
2019/10;Desmatamento Recente;276;RONDONIA
2020/01;Desmatamento Recente;17;RONDONIA
2020/11;Desmatamento Consolidado;224;RONDONIA
2020/04;Outros;5;RONDONIA
2020/11;Outros;54;RONDONIA
2019/09;Desmatamento Consolidado;1226;RONDONIA
2020/01;Outros;4;RONDONIA
2019/08;Desmatamento Recente;3374;RONDONIA
2020/01;Desmatamento Consolidado;35;RONDONIA
2019/10;Floresta;12;RONDONIA
2019/09;Outros;98;RONDONIA
2019/09;Desmatamento Recente;2167;RONDONIA
2020/07;Desmatamento Recente;151;RONDONIA
2020/08;Desmatamento Consolidado;737;RONDONIA
2019/08;Floresta;309;RONDONIA
2020/05;Floresta;1;RONDONIA
2020/02;Floresta;1;RONDONIA
2020/10;Floresta;104;RONDONIA
2019/11;Floresta;5;RONDONIA
2020/04;Desmatamento Recente;14;RONDONIA
2020/06;Outros;2;RONDONIA
2020/02;Desmatamento Recente;10;RONDONIA
2020/10;Outros;240;RONDONIA
2019/11;Desmatamento Recente;126;RONDONIA
2020/12;Desmatamento Consolidado;82;RONDONIA
2020/06;Desmatamento Recente;46;RONDONIA
2020/02;Desmatamento Consolidado;22;RONDONIA
2019/08;Desmatamento Consolidado;1698;RONDONIA
2019/11;Desmatamento Consolidado;121;RONDONIA
2020/06;Desmatamento Consolidado;88;RONDONIA
2020/07;Floresta;35;RONDONIA
